"id","titulo","adulto","orcamento","idioma_original","popularidade","data_de_estreia","resumo","receita","duracao","genero","ator_1","ator_2","ator_3","ator_4","ator_5","dirigido_por","escrito_por_1","escrito_por_2","historia_original"
87774,"Bucktown",False,0,"en",0.0,"1975-07-02","Duke Johnson visits a small Southern town, intent on burying his brother. After the funeral, he learns that he must stay for 60 days, for the estate to be processed. A few locals convince Duke to reopen his late brother's nightclub, and soon the local redneck policemen are intimidating Duke with threats of violence. Duke refuses to pay the bribes they demand, so then he and his lady friend Aretha are threatened and attacked by the crooked cops. Rather than take them on himself, Duke calls on his old pal Roy. Roy brings a few buddies to Bucktown, and they bring justice to the small town. With the redneck cops out of the way, Duke lets his guard down. Then the situation gets out of hand again. Finally, Duke must settle the score himself.",0.0,94.0,"Action","Fred Williamson","Pam Grier","Thalmus Rasulala","Tony King","Bernie Hamilton","Arthur Marks","","",""
57918,"Da grande",False,0,"it",0.0,"1987-12-23","",0.0,0.0,"Comedy","Renato Pozzetto","Giulia Boschi","Ottavia Piccolo","Joska Versari","Alessandro Haber","Franco Amurri","","",""
300601,"It's Now or Never",False,0,"es",9.0,"2015-06-19","Narrates the preparation for a wedding of a Spanish couple in which everything goes wrong.",0.0,91.0,"Comedy","Dani Rovira","María Valverde","Clara Lago","Alicia Rubio","Marcel Borràs","María Ripoll","Francisco Roncal","",""
425,"Ice Age",False,59000000,"en",31.0,"2002-03-10","With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",383257136.0,81.0,"Comedy","Ray Romano","John Leguizamo","Denis Leary","Goran Visnjic","Jack Black","Chris Wedge","Michael Berg","Michael J. Wilson",""
25126,"Six Shooter",False,200000,"en",4.0,"2004-01-01","A black and bloody Irish comedy about a sad train journey where an older man, whose wife has died that morning, encounters a strange and possibly psychotic young oddball...",0.0,27.0,"Comedy","Brendan Gleeson","Rúaidhrí Conroy","David Wilmot","Aisling O'Sullivan","Gary Lydon","Martin McDonagh","","",""
52593,"Home in Oklahoma",False,0,"en",0.0,"1946-10-18","In this Roy Rogers entry, featuring a song written by Oklahoma Governor Roy J. Turner (making him and Lousiania's Jimmie Davis and Texas' W.E. ""Pappy"" O'Daniel possibly the only state governors to write songs used in a western), Flying U ranch owner Sam Talbot is killed by a fall from a horse. St. Louis reporter Connie Edwards comes to check a rumor that he might have been murdered. She goes to Roy Rogers, editor of the local newspaper, and he takes her to the reading of Talbot's will. The ranch is left to Talbot's 12-year-old ward, Duke Lowery, much to the dismay of Talbot's niece, Jan Holloway. After some attempts on Duke's life, Roy finally proves that Jan, Steve McClory and coroner Jim Judnick had Talbot killed and are conspiring to do the same for Duke, making Jan the last heir.",0.0,72.0,"Action","Roy Rogers","George 'Gabby' Hayes","Dale Evans","Carol Hughes","George Meeker","William Witney","Gerald Geraghty","",""
49041,"Pee-Wee's Playhouse Christmas Special",False,0,"en",2.0,"1988-12-25","Pee-wee Herman and pals are celebrating Christmas in the Playhouse in their own creative ways: Pee-wee makes a list for Santa Claus 1 1/2 miles long, teaches Little Richard how to ice skate, goes for a sleigh ride with Magic Johnson, commands Frankie Avalon and Annette Funicello to make Christmas cards, receives a long phone call from Dinah Shore, even has more musical fun with k.d. lang, the Del Rubio Triplettes and Charo! Finally, Big Red arrives and announces that Pee-wee's Christmas list was so big, he didn't have enough presents for all the children of the world. Will Pee-wee follow his own advice and help others?",0.0,49.0,"Comedy","Paul Reubens","Annette Funicello","Frankie Avalon","Grace Jones","Dinah Shore","Paul Reubens","","",""
32678,"Dead Man Running",False,5000000,"en",4.0,"2009-01-01","A loan shark gives ex-con Nick a period of 24 hours in order to pay back the money he owes. Up against it, Nick involves his best mate on a multi-part mission in order to raise the cash before it's too late for them both",0.0,92.0,"Action","50 Cent","Tamer Hassan","Danny Dyer","Blake Ritson","Esmé Bianco","Alex De Rakoff","","",""
14536,"New in Town",False,8000000,"en",22.0,"2009-01-30","Lucy Hill is an ambitious up-and-coming executive living in Miami. She loves her shoes, she loves her cars and she loves climbing the corporate ladder. When she is offered a temporary assignment – in the middle of nowhere – to restructure a manufacturing plant, she jumps at the opportunity, knowing that a big promotion is close at hand. What begins as a straight-forward assignment becomes a life-changing experience as Lucy discovers greater meaning in her life and, most unexpectedly, the man of her dreams.",29010817.0,97.0,"Comedy","Renée Zellweger","Harry Connick Jr.","J.K. Simmons","Siobhan Fallon","Mike O'Brien","Jonas Elmer","","",""
876,"Frank Herbert's Dune",False,20000000,"en",26.0,"2000-12-03","A three part mini-series based on Frank Herbert's classic Science Fiction novel entailing politics, betrayal, lust, greed and the coming of a Messiah.",0.0,292.0,"Action","William Hurt","Alec Newman","Saskia Reeves","Ian McNeice","Giancarlo Giannini","John Harrison","","",""
20173,"The Barefoot Executive",False,0,"en",1.0,"1971-03-17","In the great Disney tradition of wild family fun, a young Kurt Russell stars as Steven Post - an ambitious mailroom clerk at a second-rate TV network. With his eye on the boardroom, and getting nowhere with the studio's top dog, he makes a career-changing discovery. His girlfriend's lovable pet chimp can pick a hit show every time! His secret for success turns into a madcap monkey business when he makes vice president and jealous rivals want in on the act. Ride along with narrow escapes and a classic cast featuring Joe Flynn and Harry Morgan in a comedic climb up the corporate ladder that will leave you howling for more!",0.0,96.0,"Comedy","Kurt Russell","Joe Flynn","Harry Morgan","Wally Cox","Heather North","Robert Butler","Joseph L. McEveety","",""
46663,"Night Nurses",False,0,"en",0.0,"2007-11-29","After an accident, an unconscious and charming millionaire from Moscow lands in a provincial boarding house where he is surrounded with loving care by four sexy nurses.",0.0,95.0,"Comedy","Aleksey Makarov","Olga Lomonosova","Aleksey Kortnev","Angelina Mirimskaya","Maksim Konovalov","Aleksei Muradov","","",""
42706,"Frank & Jesse",False,0,"en",1.0,"1995-04-22","At the end of the Civil War, Frank and Jesse James and other former guerillas who rode with Quantrill and Bill Anderson take the oath of allegiance to the Union. Feeling oppressed by Chicago railroad investors, the James and Younger brothers, Bob and Charlie Ford, Clell Miller and Arch Clements take to robbing banks, trains and coaches, with Pinkerton sworn to bringing them to justice.",0.0,105.0,"Action","Rob Lowe","Bill Paxton","Randy Travis","William Atherton","Todd Field","Robert Boris","","",""
299104,"Port of Flowers",False,0,"ja",0.0,"1943-07-29","The sweet but naive denizens of a charming port town are hoodwinked by a couple of con men at the outset of World War II. But the hustlers’ plan backfires when they come down with severe cases of conscience. Keisuke Kinoshita’s directorial debut is a breezy, warmhearted, and often very funny crowd-pleaser that’s a testament to the filmmaker’s faith in people.",0.0,82.0,"Comedy","Eitarô Ozawa","Ken Uehara","Mitsuko Mito","Chieko Higashiyama","Chishu Ryu","Keisuke Kinoshita","Yoshiro Tsuji","",""
809,"Shrek 2",False,150000000,"en",29.0,"2004-05-19","Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",919838758.0,93.0,"Comedy","Mike Myers","Eddie Murphy","Cameron Diaz","Julie Andrews","Antonio Banderas","Andrew Adamson","Andrew Adamson","Joe Stillman",""
41366,"New World Disorder",False,0,"en",1.0,"1999-12-03","A gang of four eyed crooks led by Kurt Bishop (McCarthy) are ripping off top dollar computer chips from a list of factories. The night they hit Dynaphase Systems, two dirty employees are staying late using company resources to develop their own plans for a security microchip worth millions of dollars. Psychopathic Bishop raids the Dynaphase facility and downloads the mainframe before the employees have a chance to completely erase their work from it. When Bishop discovers the value of the stolen, but partially erased information, he sets out after the rest of the chip design, letting nothing stand in his way.",0.0,94.0,"Action","Rutger Hauer","Andrew McCarthy","Tara Fitzgerald","Hari Dhillon","","Richard Spence","","",""
352036,"Jay Pharoah: Can I Be Me?",False,0,"en",0.0,"2015-08-01","Stand up Jay Pharaoh performs his most popular celebrity impressions in this powerhouse comedy special, including hilarious takes on Chris Rock, Dave Chappelle, Jay-Z, Barack Obama and more.",0.0,62.0,"Comedy","Jay Pharoah","","","","","Ryan Polito","","",""
21030,"Daddy's Dyin'... Who's Got the Will?",False,0,"en",0.0,"1990-05-04","Bickering siblings are reunited at their Texas home as their father lies on his deathbed in this black comedy.",1373728.0,95.0,"Comedy","Beverly D'Angelo","Beau Bridges","Tess Harper","Judge Reinhold","Amy Wright","Jack Fisk","Del Shores","",""
131932,"FBI: Frikis buscan incordiar",False,0,"es",0.0,"2004-06-04","The police are on the trail of the band of Cardenas. He and his cronies engaged annoy geeks city, making all kinds of atrocities. The police will not let them get away with it, but perhaps it's too late ...",928391.0,85.0,"Comedy","Javier Cárdenas","Carmen de Mairena","Manolo Reyes 'Pozí'","Joan Antoni Estadés","Nacho Sierra","Javier Cárdenas","","",""
72215,"There Once Was a Dog",False,0,"ru",3.0,"1982-01-01","The day comes when an old watchdog becomes useless but the masters being kind don't decide to drive him away. However they turn exasperated when the Dog stays indifferent during a home theft. The Dog leaves for the forest, where he meets the Wolf, his old enemy.",0.0,10.0,"Comedy","Georgi Burkov","Armen Dzhigarkhanyan","Eduard Nazarov","","","Eduard Nazarov","Eduard Nazarov","",""
43310,"The King and Four Queens",False,0,"en",7.0,"1956-12-21","Opportunistic con man Dan Kehoe ingratiates himself with the cantankerous mother of four outlaws and their beautiful widows in order to find their hidden gold.",0.0,86.0,"Comedy","Clark Gable","Eleanor Parker","Jean Willes","Jo Van Fleet","Barbara Nichols","Raoul Walsh","Richard Alan Simmons","Margaret Fitts",""
10831,"The Draughtsman's Contract",False,0,"en",4.0,"1982-10-02","Peter Greenaway's first fiction feature (after the mock-documentary The Falls) made him immediately famous and was named one of the most original films of the 1980s by British critics. The action is set in the director's beloved 17th century. Ambitious young artist Mr. Neville (Anthony Higgins) is invited by Mrs. Herbert (Janet Suzman) to make 12 elaborate sketches of her estate. Besides money, the contract includes sexual favors that Mrs. Herbert will offer to the draughtsman in the absence of Mr. Herbert. Entirely confident in his ability to weave a web of intrigues, Mr. Neville eventually becomes a victim of someone else's elaborate scheme. The film is structured as a sophisticated intellectual puzzle like the ones popular in the 17th century.",0.0,103.0,"Comedy","Anthony Higgins","Janet Suzman","Dave Hill","Anne-Louise Lambert","Hugh Fraser","Peter Greenaway","Peter Greenaway","",""
11346,"Kleinruppin forever",False,0,"de",0.0,"2004-02-08","No overview found.",0.0,103.0,"Comedy","Tobias Schenke","Anna Brüggemann","Michael Gwisdek","Tino Mewes","Tobias Kasimirowicz","Carsten Fiebeler","Peer Klehmet","Sebastian Wehlings",""
337663,"Tooken",False,0,"en",2.0,"2015-05-26","Spoof of the ""Taken"" franchise. An ex-CIA agent who is now a mall security guard discovers that things are being taken from him. He must team up with his mom, also an ex-CIA agent, to defeat his rival and save his family.",0.0,81.0,"Comedy","Lee Tergesen","Donnie Wahlberg","Jenny McCarthy","Lukas Haas","Margaret Cho","John Asher","","",""
333555,"Schneider vs. Bax",False,3000000,"nl",3.0,"2015-05-28","On his birthday, a hitman reluctantly takes on the easy task of killing a writer, only to find the job a lot more difficult than expected.",0.0,94.0,"Comedy","Tom Dewispelaere","Maria Kraakman","Alex van Warmerdam","Pierre Bokma","Annet Malherbe","Alex van Warmerdam","","",""
38995,"Café solo o con ellas",False,0,"en",0.0,"2007-06-19","Javi, Hugo, Dani and Pedro are four friends in their late twenties trying to make a life for themselves. The cafe is where the buddies meet through the ups and downs of fast-paced lives full of basketball games, late-night partying and schemes to get what they want most: a little love and a girl who loves them.",0.0,124.0,"Comedy","Alejo Sauras","Lucía Jiménez","Asier Etxeandia","Elena Ballesteros","Inma Cuesta","Álvaro Díaz Lorenzo","","",""
80616,"The More the Merrier",False,0,"en",1.0,"1943-03-26","It's World War II and there is a severe housing shortage everywhere - especially in Washington, D.C. where Connie Milligan rents an apartment. Believing it to be her patriotic duty, Connie offers to sublet half of her apartment, fully expecting a suitable female tenent. What she gets instead is mischievous, middle-aged Benjamin Dingle. Dingle talks her into subletting to him and then promptly sublets half of his half to young, irreverent Joe Carter - creating a situation tailor-made for comedy and romance.",0.0,104.0,"Comedy","Jean Arthur","Joel McCrea","Charles Coburn","Richard Gaines","Bruce Bennett","George Stevens","Lewis R. Foster","Richard Flournoy",""
33630,"Vivacious Lady",False,0,"en",1.0,"1938-08-31","College town life gets turned upside down after a button-down botany professor secretly weds a sizzling night-club singer.",0.0,90.0,"Comedy","Ginger Rogers","James Stewart","James Ellison","Beulah Bondi","Charles Coburn","George Stevens","P.J. Wolfson","Ernest Pagano",""
15639,"Larry the Cable Guy: Health Inspector",False,0,"en",1.0,"2006-03-24","A slovenly cable repairman becomes a big-city health inspector and is tasked with uncovering the source of a food poisoning epidemic.",0.0,89.0,"Comedy","Larry the Cable Guy","Iris Bahr","Tony Hale","David Koechner","Brooke Dillman","Trent Cooper","","",""
18713,"The Jerky Boys",False,0,"en",1.0,"1995-02-03","When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor.",0.0,82.0,"Comedy","John G. Brennan","Kamal Ahmed","Alan Arkin","William Hickey","Vincent Pastore","James Melkonian","","",""
20837,"Jim Gaffigan: King Baby",False,0,"en",1.0,"2009-03-29","The greatly anticipated follow up to the platinum selling Beyond the Pale. In this Austin performance that capped off the 2008 sold-out stand up tour, Gaffigan does not let the audience catch their breath. This all-new show proves no other comedian working today can romanticize laziness and over-indulgence like Jim Gaffigan.",0.0,72.0,"Comedy","Jim Gaffigan","","","","","Troy Miller","","",""
5851,"Showtime",False,85000000,"en",8.0,"2002-03-14","A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.",77741732.0,95.0,"Comedy","Robert De Niro","Rachael Harris","Eddie Murphy","Zaid Farid","William Shatner","Tom Dey","Miles Millar","Alfred Gough",""
61151,"Never Say Goodbye",False,0,"en",0.0,"1946-11-09","Phil and Ellen Gayley have been divorced for a year, and their 8-year old daughter, Flip, is very unhappy that her parents are not together. Flip starts a correspondence with a marine, sending a picture of her beautiful mother as the author of Flip's flirtatious letters. When the marine shows up to meet his pen pal, Ellen takes the opportunity to make her ex-husband jealous.",0.0,97.0,"Comedy","Errol Flynn","Eleanor Parker","Lucile Watson","S.Z. Sakall","Forrest Tucker","James V. Kern","I.A.L. Diamond","James V. Kern",""
408546,"David Cross: Making America Great Again",False,0,"en",0.0,"2016-08-06","With nothing off-limits, David Cross is unapologetic, insightful, and biting in his Netflix original stand-up comedy special, Making America Great Again. Filmed live at The Paramount Theatre in Austin, TX, Cross takes aim the current political landscape.",0.0,74.0,"Comedy","David Cross","","","","","Alex Coletti","","",""
752,"V for Vendetta",False,54000000,"en",36.0,"2006-03-15","In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",132511035.0,132.0,"Action","Natalie Portman","Hugo Weaving","Stephen Rea","Stephen Fry","John Hurt","James McTeigue","Lilly Wachowski","Lana Wachowski",""
164504,"Man of the Forest",False,0,"en",1.0,"1933-08-24","Beasley, who is after Gayner's land, plans to kidnap his daughter. But Dale overhears their plan and kidnaps her himself. When Gayner arrives to retrieve his daughter, Beasley kills him and makes the Sheriff arrest Dale for the murder.",0.0,62.0,"Action","Randolph Scott","Verna Hillie","Harry Carey","Noah Beery","Barton MacLane","Henry Hathaway","Jack Cunningham","",""
100275,"Eddie: The Sleepwalking Cannibal",False,0,"en",3.0,"2012-04-22","A once-famous painter rediscovers inspiration when he befriends a sleepwalking cannibal.",1632.0,79.0,"Comedy","Thure Lindhardt","Dylan Smith","Georgina Reilly","Alain Goulem","Stephen McHattie","Boris Rodriguez","Boris Rodriguez","",""
9331,"Clear and Present Danger",False,62000000,"en",13.0,"1994-08-03","CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.",215887717.0,141.0,"Action","Harrison Ford","Willem Dafoe","Anne Archer","Joaquim de Almeida","Henry Czerny","Phillip Noyce","Steven Zaillian","John Milius",""
21521,"Project A II",False,0,"cn",12.0,"1987-08-19","Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt police superintendent.",0.0,101.0,"Comedy","Jackie Chan","Maggie Cheung","Michael Chan Wai-Man","Rosamund Kwan","Bill Tung","Jackie Chan","","",""
199222,"Gli innamorati",False,0,"en",0.0,"1955-06-17","Despite of (or perhaps because of ) its sparse production values and unpretentiousness, the Italian Gli Innamorati was feted at the 1956 Cannes Film Festival. The bulk of the story takes place in a single Roman neighborhood. In the manner of the 1925 German classic A Joyless Street, director Mauro Bolognini studies the hopes, dreams, successes and failures of the neighborhood's various and sundry denizens. No one subplot dominates the proceedings, though a bit of extra time is afforded the story of a fickle seamstress and her seemingly meek-and-mild boyfriend. The cast is dotted with such reassuringly familiar faces as Nino Manfredi and Gino Cervi. Released in the US as Wild Love, Gli Innamorati was instrumental in bringing international fame to director Bolognini, whose career soon shifted into high drive.",0.0,81.0,"Comedy","Antonella Lualdi","Franco Interlenghi","Sergio Raimondi","Valeria Moriconi","Nino Manfredi","Mauro Bolognini","","",""
9896,"Rat Race",False,48000000,"en",22.0,"2001-07-30","In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",85498534.0,112.0,"Comedy","Cuba Gooding Jr.","Seth Green","Whoopi Goldberg","Breckin Meyer","Amy Smart","Jerry Zucker","Andy Breckman","",""
14220,"Strange Wilderness",False,0,"en",9.0,"2008-02-01","With the ratings dropping for a wilderness-themed TV show, two animal fans go to the Andes in search of Bigfoot.",6575282.0,87.0,"Comedy","Steve Zahn","Allen Covert","Jonah Hill","Kevin Heffernan","Ashley Scott","Fred Wolf","Fred Wolf","Peter Gaulke",""
243059,"Questi fantasmi",False,0,"it",0.0,"1962-01-29","",0.0,"","Comedy","Eduardo De Filippo","","","","","","","",""
37858,"Bandaged",False,0,"en",0.0,"2009-04-03","Since his wife's death, Arthur, a peculiar and severe surgeon, cloisters his teen daughter Lucille inside a strange mansion. Desperate, Lucille tries to commit suicide and ends up with her face completely burned and bandaged. Arthur, with the assistance of his aunt, prepares a weird skin graft in order to give back Lucille a face, a face that resembles his beloved and deceased wife. To take care of her, the father then hires Joan, an attractive nurse with a somber past. Lucille and Joan start a forbidden and passionate love affair.",0.0,92.0,"Action","Janna Lisa Dombrowsky","Martine Erhel","Hans Piesbergen","Stefan Dickfeld","Gisela Meinke","Maria Beatty","","",""
14979,"Thick as Thieves",False,25000000,"en",21.0,"2009-01-09","A master thief recruits a notorious thief to help him steal two famous Faberge eggs from an impenetrable vault in an effort to pull off one final job and repay his debt to the Russian mob.",0.0,104.0,"Action","Morgan Freeman","Antonio Banderas","Radha Mitchell","Robert Forster","Rade Serbedzija","Mimi Leder","","",""
382220,"Master",False,0,"ko",3.0,"2016-12-21","Korea’s biggest network marketing scam reveals a far greater network of corruption and conspiracy lurking underneath.",0.0,143.0,"Action","Lee Byung-hun","Kang Dong-won","Kim Woo-bin","Uhm Ji-won","Oh Dal-su","Cho Ui-Seok","Cho Ui-Seok","",""
2397,"Fallout",False,0,"en",3.0,"1998-01-01","No overview found.",0.0,90.0,"Action","Daniel Baldwin","Frank Zagarino","Teri Ann Linn","Scott Valentine","John Reilly","Rodney McDonald","Chris Bremble","",""
339148,"Already Tomorrow in Hong Kong",False,0,"en",4.0,"2015-06-12","An attraction forms when a Chinese American girl visiting Hong Kong for the first time meets an American expat who shows her the way, but timing may not quite be on their side.",0.0,78.0,"Comedy","Jamie Chung","Bryan Greenberg","Richard Ng","Sarah Lian","Ines Laimins","Emily Ting","","",""
38205,"Kummeli Goldrush",False,0,"fi",1.0,"1997-12-05","Psychiatric patient Elmeri knows about the existence of a gold treasure in Finnish Lapland, hidden there by his late father who somehow managed to capture it from withdrawing German troops on the last days of WW2. His openly gay nurse helps him escape from the mental institution, and the two men slowly find their way up north to reach the gold. On their way, the odd couple meets a cavalcade of even odder characters.",0.0,96.0,"Comedy","Heikki Silvennoinen","Timo Kahilainen","Heikki Hela","Heikki Vihinen","Mari Turunen","Matti Grönberg","","",""
108726,"A Common Man",False,0,"en",5.0,"2013-06-30","A terrorist plants several bombs throughout the city of Colombo, Sri Lanka and threatens to detonate them unless prisoners are released.",0.0,86.0,"Action","Ben Kingsley","Ben Cross","Patrick Rutnam","Ashan Dias","Mohamed Adamaly","Chandran Rutnam","","",""
442949,"Rising Fear",False,0,"en",0.0,"2016-05-30","When terrorists take our nation hostage, a rogue marine sets out to stop them.",0.0,94.0,"Action","Curtis Caldwell","Tom Getty","Daniel Kuttner","Philip Lewis","Eamon McGee","Tom Getty","","",""
38190,"The Hire: Ticker",False,0,"en",2.0,"2002-01-01","The Driver drives a wounded diplomat, who carries a mysterious briefcase, while under helicopter attack. During the attack the briefcase is struck by a bullet, causing a display on it to begin counting down, and it to leak an unknown fluid from the bullet hole. The Driver manages to destroy his pursuers, but refuses to proceed without knowing the contents of the damaged briefcase. It is revealed that the diplomat guards a human heart for a peacekeeper, whose life is needed for the continued freedom of the people. The case is delivered, and the tyrant is forced to give up his attempt to take the country by force. The Driver leaves for another mission.",0.0,11.0,"Action","Clive Owen","Don Cheadle","F. Murray Abraham","Eli Danker","Dennis Haysbert","Joe Carnahan","","",""
18628,"Very Happy Alexander",False,0,"fr",5.0,"1968-02-09","Alexandre, a young and honest farmer, is oppressed by an authoritarian wife, who makes him work like a dog. When she dies in a car crash, he decides to stay in bed, absolutely free and inactive. Just a dog is occupied to carry food and newspapers to him.",0.0,100.0,"Comedy","Philippe Noiret","Françoise Brion","Marlène Jobert","Jean Carmet","Paul Le Person","Yves Robert","","",""
137093,"Last Vegas",False,28000000,"en",16.0,"2013-10-31","Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.",134402450.0,105.0,"Comedy","Robert De Niro","Morgan Freeman","Michael Douglas","Kevin Kline","Mary Steenburgen","Jon Turteltaub","Dan Fogelman","",""
47330,"Stewart Lee: If You Prefer a Milder Comedian, Please Ask for One",False,0,"en",0.0,"2010-10-11","TV's Frankie Boyle has declared that no-one over 40 should do stand-up, as the old comedians lose their edge and their anger. Stewart Lee is 42 and Frankie's heartless Scottish words have made him wonder if it's worth carrying on. Undaunted, the furiously baffled comedian tries to win round the legendarily harsh Glasgow audience with a crowd-pleasing Mcintyre-style routine about coffee shops, but is distracted by scores of imaginary pirates; he tries to talk about every day middle aged men's concerns, but is drawn into a forty minute rant against Top Gear and all it stands for; he attempts to find some common ground with happy childhood memories that he and the audience can share, but is instead consumed with loathing and despair as a result of a Magners' Cider advertising campaign.",0.0,105.0,"Comedy","Stewart Lee","","","","","","","",""
